JavaScript
Python
Java
Go
C++
Ruby
PHP
TypeScript
C#
C
Shell
Scala
Swift
Rust
Kotlin
Objective-C
Groovy
Elixir
Lua
DM
Perl
Dart
Clojure
PowerShell
CoffeeScript
Haskell
OCaml
R
Emacs Lisp
Vim script
Jsonnet
Erlang
Puppet
Julia
Smalltalk
MATLAB
WebAssembly
Fortran
F#
Visual Basic
Apex
ABAP
Vala
Nix
Crystal
Roff
Perl 6
FreeMarker
PureScript
Objective-C++
